Nombre,Posicion,Club_ID,Club,Goles,Temporada
Adrian Liso,Extremo izquierdo,ESP_GET,Getafe CF,3,2025/2026
Kylian Mbappe,Delantero Centero,ESP_RMA,Real Madrid CF,31,2024/2025
Artem Dovbyk,Delantero Centero,ESP_GIR,Girona FC,24,2023/2024
Robert Lewandowski,Delantero Centero,ESP_FCB,FC Barcelona,23,2022/2023
Karim Benzema,Delantero Centero,ESP_RMA,Real Madrid CF,27,2021/2022
Lionel Messi,Extremo derecho,ESP_FCB,FC Barcelona,30,2020/2021
Lionel Messi,Extremo derecho,ESP_FCB,FC Barcelona,25,2019/2020
