position,Club_ID,Club,Valor_actual,Valor_millones,Temporada
4,ESP_ATH,Athletic Club,"221,40",221400000,2021/2022
5,ESP_RSO,Real Sociedad,"331,60",331600000,2021/2022
6,ESP_VIL,Villarreal CF,"340,20",340200000,2021/2022
7,ESP_BET,Real Betis Balompie,"250,00",250000000,2021/2022
8,ESP_VAL,Valencia CF,"251,20",251200000,2021/2022
9,ESP_GIR,Girona FC,"71,30",71300000,2021/2022
10,ESP_CEL,RC Celta de Vigo,"119,55",119550000,2021/2022
11,ESP_SEV,Sevilla FC,"266,85",266850000,2021/2022
12,ESP_ESP,RCD Espanyol,"113,35",113350000,2021/2022
13,ESP_OSA,CA Osasuna,"114,40",114400000,2021/2022
14,ESP_MLL,RCD Mallorca,"64,90",64900000,2021/2022
15,ESP_RAY,Rayo Vallecano,"61,70",61700000,2021/2022
16,ESP_ALA,Deportivo Alaves,"25,20",25200000,2021/2022
17,ESP_ELC,Elche CF,"78,40",78400000,2021/2022
18,ESP_GET,Getafe CF,"147,40",147400000,2021/2022
19,ESP_LEV,Levante UD,"52,60",52600000,2021/2022
20,ESP_ROV,Real Oviedo,"24,40",24400000,2021/2022
1,ESP_RMA,Real Madrid CF,"1,06",1060000000,2020/2021
2,ESP_FCB,FC Barcelona,"1,05",1050000000,2020/2021
3,ESP_ATM,Atletico de Madrid,"768,60",768600000,2020/2021
4,ESP_ATH,Athletic Club,"216,30",216300000,2020/2021
5,ESP_RSO,Real Sociedad,"327,10",327100000,2020/2021
6,ESP_VIL,Villarreal CF,"269,20",269200000,2020/2021
7,ESP_BET,Real Betis Balompie,"231,65",231650000,2020/2021
8,ESP_VAL,Valencia CF,"288,38",288380000,2020/2021
9,ESP_GIR,Girona FC,"32,43",32430000,2020/2021
10,ESP_CEL,RC Celta de Vigo,"127,60",127600000,2020/2021
11,ESP_SEV,Sevilla FC,"333,00",333000000,2020/2021
12,ESP_ESP,RCD Espanyol,"116,58",116580000,2020/2021
13,ESP_OSA,CA Osasuna,"54,60",54600000,2020/2021
14,ESP_MLL,RCD Mallorca,"44,68",44680000,2020/2021
15,ESP_RAY,Rayo Vallecano,"25,30",25300000,2020/2021
16,ESP_ALA,Deportivo Alaves,"87,60",87600000,2020/2021
17,ESP_ELC,Elche CF,"7,65",7650000,2020/2021
18,ESP_GET,Getafe CF,"157,75",157750000,2020/2021
19,ESP_LEV,Levante UD,"106,30",106300000,2020/2021
20,ESP_ROV,Real Oviedo,"10,25",10250000,2020/2021
1,ESP_RMA,Real Madrid CF,"1,18",1180000000,2019/2020
2,ESP_FCB,FC Barcelona,"1,16",1160000000,2019/2020
3,ESP_ATM,Atletico de Madrid,"829,40",829400000,2019/2020
4,ESP_ATH,Athletic Club,"221,80",221800000,2019/2020
5,ESP_RSO,Real Sociedad,"296,30",296300000,2019/2020
6,ESP_VIL,Villarreal CF,"209,60",209600000,2019/2020
7,ESP_BET,Real Betis Balompie,"297,30",297300000,2019/2020
8,ESP_VAL,Valencia CF,"474,20",474200000,2019/2020
9,ESP_GIR,Girona FC,"68,20",68200000,2019/2020
10,ESP_CEL,RC Celta de Vigo,"206,80",206800000,2019/2020
11,ESP_SEV,Sevilla FC,"266,00",266000000,2019/2020
12,ESP_ESP,RCD Espanyol,"147,85",147850000,2019/2020
13,ESP_OSA,CA Osasuna,"42,05",42050000,2019/2020
14,ESP_MLL,RCD Mallorca,"39,85",39850000,2019/2020
15,ESP_RAY,Rayo Vallecano,"43,40",43400000,2019/2020
16,ESP_ALA,Deportivo Alaves,"90,80",90800000,2019/2020
17,ESP_ELC,Elche CF,"9,25",9250000,2019/2020
18,ESP_GET,Getafe CF,"136,20",136200000,2019/2020
19,ESP_LEV,Levante UD,"105,60",105600000,2019/2020
20,ESP_ROV,Real Oviedo,"13,75",13750000,2019/2020
